16:45,fünfzehn vor fünf
16:50,zehn vor fünf
16:55,fünf vor fünf
17:00,fünf
17:05,fünf nach fünf
17:10,zehn nach fünf
17:15,fünfzehn nach fünf
17:20,zwanzig nach fünf
17:25,fünfundzwanzig nach fünf
17:30,halb sechs
17:35,fünfundzwanzig vor sechs
17:40,zwanzig vor sechs
17:45,fünfzehn vor sechs
17:50,zehn vor sechs
17:55,fünf vor sechs
18:00,sechs
18:05,fünf nach sechs
18:10,zehn nach sechs
18:15,fünfzehn nach sechs
18:20,zwanzig nach sechs
18:25,fünfundzwanzig nach sechs
18:30,halb sieben
18:35,fünfundzwanzig vor sieben
18:40,zwanzig vor sieben
18:45,fünfzehn vor sieben
18:50,zehn vor sieben
18:55,fünf vor sieben
19:00,sieben
19:05,fünf nach sieben
19:10,zehn nach sieben
19:15,fünfzehn nach sieben
19:20,zwanzig nach sieben
19:25,fünfundzwanzig nach sieben
19:30,halb acht
19:35,fünfundzwanzig vor acht
19:40,zwanzig vor acht
19:45,fünfzehn vor acht
19:50,zehn vor acht
19:55,fünf vor acht
20:00,acht
20:05,fünf nach acht
20:10,zehn nach acht
20:15,fünfzehn nach acht
20:20,zwanzig nach acht
20:25,fünfundzwanzig nach acht
20:30,halb neun
20:35,fünfundzwanzig vor neun
20:40,zwanzig vor neun
20:45,fünfzehn vor neun
20:50,zehn vor neun
20:55,fünf vor neun
21:00,neun
21:05,fünf nach neun
21:10,zehn nach neun
21:15,fünfzehn nach neun
21:20,zwanzig nach neun
21:25,fünfundzwanzig nach neun
21:30,halb zehn
21:35,fünfundzwanzig vor zehn
21:40,zwanzig vor zehn
21:45,fünfzehn vor zehn
21:50,zehn vor zehn
21:55,fünf vor zehn
22:00,zehn
22:05,fünf nach zehn
22:10,zehn nach zehn
22:15,fünfzehn nach zehn
22:20,zwanzig nach zehn
22:25,fünfundzwanzig nach zehn
22:30,halb elf
22:35,fünfundzwanzig vor elf
22:40,zwanzig vor elf
22:45,fünfzehn vor elf
22:50,zehn vor elf
22:55,fünf vor elf
23:00,elf
23:05,fünf nach elf
23:10,zehn nach elf
23:15,fünfzehn nach elf
23:20,zwanzig nach elf
23:25,fünfundzwanzig nach elf
23:30,halb zwölf
23:35,fünfundzwanzig vor zwölf
23:40,zwanzig vor zwölf
23:45,fünfzehn vor zwölf
23:50,zehn vor zwölf
23:55,fünf vor zwölf
